modification type,part id,color code,color,qty needed,qty inventory,qty missing
sufficient,18649,86,Light Bluish Gray,4,4,0
sufficient,22484,85,Dark Bluish Gray,1,2,0
sufficient,22889,85,Dark Bluish Gray,1,2,0
sufficient,2412b,86,Light Bluish Gray,2,22,0
sufficient,2431,7,Blue,2,2,0
sufficient,2450,86,Light Bluish Gray,2,2,0
sufficient,28192,85,Dark Bluish Gray,1,2,0
sufficient,3002,86,Light Bluish Gray,2,4,0
sufficient,3003,86,Light Bluish Gray,2,2,0
sufficient,3010,3,Yellow,1,2,0
sufficient,3010,85,Dark Bluish Gray,2,10,0
sufficient,3022,1,White,1,9,0
sufficient,3022,6,Green,1,2,0
sufficient,3022,11,Black,2,8,0
sufficient,3024,5,Red,2,17,0
sufficient,3024,11,Black,2,3,0
sufficient,3031,86,Light Bluish Gray,2,2,0
sufficient,3035,85,Dark Bluish Gray,1,2,0
sufficient,3035,86,Light Bluish Gray,2,2,0
sufficient,3036,85,Dark Bluish Gray,1,1,0
sufficient,32002,2,Tan,6,13,0
sufficient,32028,86,Light Bluish Gray,5,6,0
sufficient,32062,5,Red,2,7,0
sufficient,32064,86,Light Bluish Gray,6,6,0
sufficient,32531,86,Light Bluish Gray,1,1,0
sufficient,32828,86,Light Bluish Gray,4,9,0
sufficient,34103,86,Light Bluish Gray,4,8,0
sufficient,3460,11,Black,2,6,0
sufficient,3623,2,Tan,3,3,0
sufficient,3623,3,Yellow,8,19,0
sufficient,3623,11,Black,2,4,0
sufficient,3660,153,Dark Azure,2,2,0
sufficient,3665,5,Red,2,4,0
sufficient,3666,3,Yellow,2,2,0
sufficient,3666,69,Dark Tan,1,3,0
sufficient,3673,86,Light Bluish Gray,2,21,0
sufficient,3703,11,Black,2,2,0
sufficient,37352,1,White,1,3,0
sufficient,3795,85,Dark Bluish Gray,9,9,0
sufficient,3795,110,Bright Light Orange,1,1,0
sufficient,3958,86,Light Bluish Gray,2,2,0
sufficient,4073,12,Trans-Clear,2,34,0
sufficient,4073,19,Trans-Yellow,2,3,0
sufficient,4073,85,Dark Bluish Gray,2,8,0
sufficient,4085d,11,Black,1,6,0
sufficient,4085d,86,Light Bluish Gray,10,14,0
sufficient,4740,86,Light Bluish Gray,1,5,0
sufficient,48336,11,Black,3,4,0
sufficient,48336,86,Light Bluish Gray,1,15,0
sufficient,48729b,86,Light Bluish Gray,4,18,0
sufficient,54200,11,Black,4,5,0
sufficient,60476,86,Light Bluish Gray,2,4,0
sufficient,60478,11,Black,2,4,0
sufficient,60478,85,Dark Bluish Gray,2,2,0
sufficient,64799,86,Light Bluish Gray,1,2,0
sufficient,6538c,11,Black,1,1,0
sufficient,88704,11,Black,1,2,0
sufficient,96874,4,Orange,1,1,0
sufficient,98138,12,Trans-Clear,2,2,0
sufficient,98138,17,Trans-Red,6,6,0
sufficient,98138,85,Dark Bluish Gray,2,6,0
sufficient,98282,85,Dark Bluish Gray,2,2,0
insufficient,10247,11,Black,6,2,4
insufficient,11211,2,Tan,30,4,26
insufficient,11212,85,Dark Bluish Gray,13,2,11
insufficient,11212,86,Light Bluish Gray,33,2,31
insufficient,11477,85,Dark Bluish Gray,20,2,18
insufficient,14417,85,Dark Bluish Gray,13,1,12
insufficient,14719,86,Light Bluish Gray,12,2,10
